Sample,Author,Mineralogy,Temperature,Biology,Method,Degassing,CA,d18Ow
BONI_IPGP_100_A3,Bonifacie,Dolomite,102.3,Abiotic,Laboratory,,,
BONI_IPGP_250,Bonifacie,Dolomite,252.1,Abiotic,Laboratory,,,
BONI_IPGP_350_A9,Bonifacie,Dolomite,351.4,Abiotic,Laboratory,,,
BONI_IPGP_80_1,Bonifacie,Dolomite,80.2,Abiotic,Laboratory,,,
JOHN_HT_25C,Kluge,Calcite,25,Abiotic,Laboratory,,,
JOHN_HT_80C,Kluge,Calcite,80,Abiotic,Laboratory,,,
KELE_AQUA_BORRA,Kele,Calcite,36.1,Abiotic,Natural,,,-5.2
KELE_BUK_4,Kele,Calcite,54.9,Abiotic,Natural,,,-9.9
KELE_CANARIAN,Kele,Calcite,33.8,Abiotic,Natural,,,
KELE_GAWATUPA,Kele,Calcite,11,Abiotic,Natural,,,-6.5
KELE_IGAL,Kele,Calcite,75,Abiotic,Natural,,,-4
KELE_LAPIGNA,Kele,Calcite,12.5,Abiotic,Natural,,,-6.8
KELE_NG_2,Kele,Calcite,60.4,Abiotic,Natural,,,-17.9
KELE_P5_SUMMER,Kele,Calcite,12,Abiotic,Natural,,,
KELE_P5_WINTER,Kele,Calcite,5,Abiotic,Natural,,,
KELE_SARTEANO,Kele,Calcite,20.7,Abiotic,Natural,,,-7.8
KELE_SZAL,Kele,Calcite,11,Abiotic,Natural,,,-10.6
KELE_TURA,Kele,Calcite,95,Abiotic,Natural,,,
LF2012-9_7-A,Mackey,Calcite,2.5,Biotic,Natural,,,
LF2012-D1-A,Mackey,Calcite,2.5,Biotic,Natural,,,
LJ2010-12A-Z1A,Mackey,Calcite,0.5,Biotic,Natural,,,
LJ2010-12A-Z2A,Mackey,Calcite,0.5,Biotic,Natural,,,
LJ2010-5B-A,Mackey,Calcite,0.5,Biotic,Natural,,,
LV26NOV10-2A,Mackey,Calcite,4,Biotic,Natural,,,
UWCP14_20C_9,Kelson,Calcite,23,Abiotic,Laboratory,passive,n,
UWCP14_20C_CA_11,Kelson,Calcite,23,Abiotic,Laboratory,passive,y,
UWCP14_21C_1,Kelson,Calcite,22,Abiotic,Laboratory,active,n,
UWCP14_4C_3,Kelson,Calcite,6,Abiotic,Laboratory,passive,n,
UWCP14_4C_4,Kelson,Calcite,6,Abiotic,Laboratory,active,n,
UWCP14_50C_2,Kelson,Calcite,51,Abiotic,Laboratory,active,n,
UWCP14_50C_7,Kelson,Calcite,54,Abiotic,Laboratory,mixed,n,
UWCP14_50C_CA_11,Kelson,Calcite,50,Abiotic,Laboratory,passive,y,
UWCP14_60C_2,Kelson,Calcite,66,Abiotic,Laboratory,active,n,
UWCP14_70C_4,Kelson,Calcite,72,Abiotic,Laboratory,passive,n,
UWCP14_70C_CA_4,Kelson,Calcite,71,Abiotic,Laboratory,mixed,y,
UWCP14_80C_2,Kelson,Calcite,78,Abiotic,Laboratory,passive,n,
UWCP14_8C_2,Kelson,Calcite,9,Abiotic,Laboratory,passive,n,
UWCP14_8C_6,Kelson,Calcite,9,Abiotic,Laboratory,mixed,n,
UWCP14_8C_CA_4,Kelson,Calcite,9,Abiotic,Laboratory,passive,y,
ETH-1-1100-SAM,,Calcite,1000,Abiotic,Laboratory,,,
ETH-2-1100-SAM,,Calcite,1000,Abiotic,Laboratory,,,
